,degrees,C,epsilon,train_rmse,valid_rmse
0,2,0.01,0.05,672.0150499552955,672.7649438146075
1,2,0.01,0.1,672.0089204901441,672.7587328447671
2,2,0.01,0.15,671.9915312289611,672.7421662078566
3,2,0.01,0.2,671.9776622739864,672.7250967536115
4,2,0.01,0.5,671.8939881517117,672.6333903913575
5,2,0.1,0.05,666.4517757490638,667.2499215671181
6,2,0.1,0.1,666.4622873785579,667.2559923221303
7,2,0.1,0.15,666.4774230106433,667.2686686940067
8,2,0.1,0.2,666.4939290376993,667.286060656888
9,2,0.1,0.5,666.4983152874114,667.2916820749318
10,2,1.0,0.05,621.790450391858,622.8712526170358
11,2,1.0,0.1,621.7912259612677,622.8708489592332
12,2,1.0,0.15,621.7910076850497,622.8711401222647
13,2,1.0,0.2,621.7881796496214,622.8629325303883
14,2,1.0,0.5,621.7604824292891,622.836349248714
15,2,10.0,0.05,519.5094446730368,526.5150817041139
16,2,10.0,0.1,519.5040186565922,526.5202255143798
17,2,10.0,0.15,519.499421979595,526.516522120577
18,2,10.0,0.2,519.4906973070379,526.5000727155084
19,2,10.0,0.5,519.4564021188261,526.4647640145447
20,2,100.0,0.05,449.3130577651072,457.4806758777051
21,2,100.0,0.1,449.3094165489833,457.4663156236176
22,2,100.0,0.15,449.30875718523,457.4580742143687
23,2,100.0,0.2,449.3013576707248,457.4528566345606
24,2,100.0,0.5,449.2960263523597,457.4437957305552
25,3,0.01,0.05,671.4111618906853,672.2511170408823
26,3,0.01,0.1,671.423767832791,672.2566469480868
27,3,0.01,0.15,671.4309665846919,672.2545604451599
28,3,0.01,0.2,671.4318893143719,672.2570124627385
29,3,0.01,0.5,671.4710605287736,672.2941382834774
30,3,0.1,0.05,665.846997467725,666.7175477835506
31,3,0.1,0.1,665.8616648960826,666.737807819083
32,3,0.1,0.15,665.8589177171635,666.7314979045419
33,3,0.1,0.2,665.8414866659083,666.7082440533111
34,3,0.1,0.5,665.8345968195589,666.6966845915784
35,3,1.0,0.05,620.2518684945788,621.0772235116957
36,3,1.0,0.1,620.2431270923106,621.0686093352209
37,3,1.0,0.15,620.232297020497,621.0581153364295
38,3,1.0,0.2,620.2244021495138,621.0531725382681
39,3,1.0,0.5,620.1721437396394,620.9969933054075
40,3,10.0,0.05,477.490367333028,484.66441789224706
41,3,10.0,0.1,477.4852793635413,484.65508592660126
42,3,10.0,0.15,477.4754408084607,484.64944806316083
43,3,10.0,0.2,477.4701969386597,484.64409667701597
44,3,10.0,0.5,477.43161188849064,484.61093900852217
45,3,100.0,0.05,356.269214625675,369.1039819947943
46,3,100.0,0.1,356.2705116918732,369.1005004801006
47,3,100.0,0.15,356.2719133369304,369.1102525897908
48,3,100.0,0.2,356.2691518750546,369.10466575251934
49,3,100.0,0.5,356.2597823268401,369.10485730753425
50,4,0.01,0.05,671.2768075854349,672.1809429298386
51,4,0.01,0.1,671.2810241721922,672.1796736241592
52,4,0.01,0.15,671.282764699301,672.1810066073178
53,4,0.01,0.2,671.2820352090137,672.1833867256621
54,4,0.01,0.5,671.2504680810295,672.1549030520367
55,4,0.1,0.05,666.7972721810169,667.784205003001
56,4,0.1,0.1,666.8008795983534,667.7857229070211
57,4,0.1,0.15,666.812020357389,667.7947865786394
58,4,0.1,0.2,666.8276117098804,667.7961344866087
59,4,0.1,0.5,666.8379129328382,667.8092635091715
60,4,1.0,0.05,634.101565575544,635.2479900618464
61,4,1.0,0.1,634.0892792406155,635.236362722607
62,4,1.0,0.15,634.0790516153952,635.2187401299665
63,4,1.0,0.2,634.0669427610391,635.2158536457442
64,4,1.0,0.5,634.0297125461166,635.1879888900481
65,4,10.0,0.05,511.0567355965216,519.327618190919
66,4,10.0,0.1,511.05931622729594,519.3308148416908
67,4,10.0,0.15,511.06218226962045,519.330491880732
68,4,10.0,0.2,511.0613376295688,519.3263550322395
69,4,10.0,0.5,511.0643567653544,519.3287201707278
70,4,100.0,0.05,369.06171530880187,404.7540670426566
71,4,100.0,0.1,369.0645389343747,404.74039762999223
72,4,100.0,0.15,369.0652888186769,404.7270990809745
73,4,100.0,0.2,369.06602774643295,404.70382791898135
74,4,100.0,0.5,369.06870892478065,404.6201244982967
75,5,0.01,0.05,671.0524458845493,672.066723651714
76,5,0.01,0.1,671.0436281021921,672.0656258531548
77,5,0.01,0.15,671.0332875958371,672.0508447904169
78,5,0.01,0.2,671.0050251501519,672.0305547980076
79,5,0.01,0.5,670.8296227428586,671.8503967490988
80,5,0.1,0.05,666.2928616020977,667.5600158504153
81,5,0.1,0.1,666.3142606839538,667.5655375975844
82,5,0.1,0.15,666.3314616427862,667.5715893344274
83,5,0.1,0.2,666.3509764016162,667.5868191219131
84,5,0.1,0.5,666.330298777068,667.5712098557588
85,5,1.0,0.05,636.3498432763965,638.9078521197849
86,5,1.0,0.1,636.347464400936,638.9060437840345
87,5,1.0,0.15,636.3374123548406,638.8996148211728
88,5,1.0,0.2,636.3435068144998,638.8979429328522
89,5,1.0,0.5,636.4052447021335,638.9587920856188
90,5,10.0,0.05,525.9940826776395,537.396291037442
91,5,10.0,0.1,525.9956741109635,537.395227876869
92,5,10.0,0.15,525.9954799861981,537.3929983007793
93,5,10.0,0.2,525.9969868627378,537.3936390319814
94,5,10.0,0.5,525.981214784942,537.3497666496681
95,5,100.0,0.05,385.4547060635143,604.0214818522584
96,5,100.0,0.1,385.45469516293207,604.0742892955732
97,5,100.0,0.15,385.4566928437367,604.1486633954939
98,5,100.0,0.2,385.4559382386658,604.2072278019283
99,5,100.0,0.5,385.4520522768141,604.6059277228983
